"orig_text","twitter_img_urls","newspaper_img_urls","_mkv_child"
"Prince Andrew ‘requests to wear admiral’s uniform’ for Prince Philip’s funeral  https://t.co/bTwRrKETMw","",,0
"@BelTel So sad coming from a first minister after nationalist politicians showed genuine remorse this week re Prince Philip. Sad state of affairs we are in.","",,0
"Our sincere condolences to our Patron, The Princess Royal. #PrincePhilip   @save_children  @SaveUKNews  @stc_de","",,0
"@chrisshipitv The RF just need to pay their respects to HRH The Prince Philip, a loved family member.","",,0
"And what an amazing museum this will be! Focusing on the v.special relationship between #Malta, its people, &amp; @RoyalFamily - especially HM The Queen &amp; Prince Philip. #MaltaUKSpecialRelationship🇲🇹🇬🇧 👏🏻 @MaltaGov @heritagemalta @RoyalFamily @UKinMalta 📖⬇️  https://t.co/vPtKYRSPgA","",,0
"BBC News - Prince Philip: Royals release new photos of the Duke of Edinburgh  https://t.co/UlGKpvQ4Jp","",,0
"#PrincePhilip   Wow, what a gent, what a tale !   The more I read the more I like him !   Thanks @cheesedoff3 for sharing !   👑👑👑  https://t.co/blrjO0ZAV7","https://pbs.twimg.com/media/Ey9oQBxWQAAZJoc.jpg",,0
"@RoyalFamily I am so angry &amp; upset that the decision has been made to ban the Military Regalia at the funeral of Prince Philip.I understand that certain members of the family would be upset not to wear them but they made life choices where they are no longer entitled to don them!","",,0
"And this is sussexsquad for you, shame on them.  #RoyalFamily #PrincePhilip #DukeandDuchessofCambridge #Royals #teamroyalfamily","",,0
"The Queen and Prince Philip’s love story in pictures  https://t.co/ZutDS8TPmZ  https://t.co/51fJYG5Oad","https://pbs.twimg.com/media/Ey9om9GWUAEW6HV.png",,0
"@RichardOCrooks @mikegalsworthy What about Prince Philip? Well I have heard almost nothing from our traditional friends like the EU (silence is deafening), but my feeds are being swamped by media of solidarity from the commonwealth stressing  our mutual cultural &amp; historic ties. Suddenly the EU is looking small","",,0
"The BBC has received a record 100,000 complaints about wall-to-wall coverage of Prince Philip’s death.  Commentator Darren Grimes: ""It's becoming a caricature of what it thinks a patriotic looks like"".  Watch in full on YouTube ►  https://t.co/1uXbuyHMlY  @mrmarkdolan  https://t.co/NfmDAmNfaN","",,0
"Royals release previously unseen pictures of family with Prince Philip  https://t.co/9pzwW30PtU","",,0
"#PrincePhilip shared very honest 'loo' trick to coping with public appearances when travelling  https://t.co/bCPxx3YckB  https://t.co/NE8urxV2u3","https://pbs.twimg.com/media/Ey3yF76XIAQtwrt.jpg",,0
"🌟I made this artwork with 625 small pics shared by Instagrammers who shared Duke of Edinburgh’s portrait and tagged #princephilip. I would like to acknowledge them. I’m sorry that I can’t mention all of them in this post. 🖼The size of the portrait is 2m x 2m.","",,0
"Meghan Markle vraiment proche du prince Philip ? Certains toussent un peu...  https://t.co/WumXaLJnvI","",,0
"@piersmorgan Prince Philip couldn’t stand fergi, thought she could  possibly bring ,the royal family down but you use her as a source!","",,0
"I aint blind. #PrincePhilip was such a handsome man.","",,0
"Catching up with the Kooks. First up, Dr Charlie Ward claims Prince Philip died last year and it was only made public now -- he also claims he mentioned this last year.","",,0
"If you wish to learn more about the life and work of the #DukeofEdinburgh then do read this.  #PrincePhilip  https://t.co/6yL6glcwau","",,0
"The Queen and Prince Philip with their great-grandchildren, Prince George, Princess Charlotte, Prince Louis, Savannah &amp; Isla Phillips, Mia &amp; Lena Tindall at Balmoral Castle in 2015 and 2018 🏰🏴󠁧󠁢󠁳󠁣󠁴󠁿❤ . 2nd 📷 : The Duchess of Cambridge. . #TheQueen #PrincePhilip  https://t.co/igZihWaHEt","https://pbs.twimg.com/media/Ey9qf-jXMAIhVYX.jpg",,0
"The Queen and Prince Philip with their great-grandchildren, Prince George, Princess Charlotte, Prince Louis, Savannah &amp; Isla Phillips, Mia &amp; Lena Tindall at Balmoral Castle in 2015 and 2018 🏰🏴󠁧󠁢󠁳󠁣󠁴󠁿❤ . 2nd 📷 : The Duchess of Cambridge. . #TheQueen #PrincePhilip  https://t.co/igZihWaHEt","https://pbs.twimg.com/media/Ey9qgz1WUAEY8xu.jpg",,1
"The Queen held another  engagement today at Windsor Castle as she officially appointed the new Lord Chamberlain, Lord Parker, the former head of MI5 who will be overseeing the arrangements for #PrincePhilip’s funeral. No literal kissing of hands though...  https://t.co/ninFKZb47O","https://pbs.twimg.com/media/Ey9qpGvW8AcliFa.jpg",,0
"@MrHarryCole I think it’s completely wrong that our future kings might not wear military uniform to honour Prince Philip.  It is what the Duke of Edinburgh would have expected.  He was always proud to wear his own dress uniforms.  All this to coddle Harry the Civilian?!  😡😡","",,0
"The death of the welcome to chilli's guy has hit me harder than Prince Philip","",,0
"i just read that prince philip once said if he was to be reincarnated he wanted to come back as a deadly virus so i genuinely believe he’s been secretly dead since 2019 and is actually what caused covid","",,0
"Her Majesty the Queen had another  engagement today at Windsor Castle as she officially appointed the new Lord Chamberlain, Lord Parker, the former head of MI5 whose office will be overseeing the arrangements for the funeral of #PrincePhilip #TheDukeOfEdinburgh","",,0
"Who the hell gives a damn! There is serious corruption going on in government and @Telegraph Is concerned how the Windsors dress for a funeral. #ToryCorruption #GreensillScandal Royal family could wear non-military dress for Prince Philip's funeral    https://t.co/7DPqDAlaN4","",,0
"Princess Eugenie pays tribute to Prince Philip - Female First  https://t.co/oC2q0InFiC","",,0
"TROLLS A MESSAGE FROM SCOTTIE McCLUE  https://t.co/worKvZLsQT #Trolls R #toast #PrincePhilip #HRHDukeofEdinburgh #internet #Truth #TruthWins #wednesdaythought #RoyalFamily #Royals #TikTokviral #Trending #VIDEOS #Wisdom #Correct #SpotOn #decent #HumanityFirst #humanity #wisewords  https://t.co/t7LFI76rdr","",,0
"Cc: @JamesDelingpole You were right about Prince Philip","",,0
"@BBCNews Why would you do this. First you cancel the final for relentless Prince Philip coverage and now you ruin it? Boo","",,0
"Members of the Royal family share new unseen pictures of Prince Philip  https://t.co/cku1khNbmj","",,0
"The Queen receives glimmer of joy with first racing winner since Prince Philip's passing  https://t.co/7Vlx4bH8CJ  https://t.co/DFzKSSAHDy","https://pbs.twimg.com/media/Ey8-JoGXIAkV2Tf.jpg",,0
"The UK government has launched its latest Covid-19 ad, which was delayed due to the death of Prince Philip  https://t.co/UggMNX5p5z  https://t.co/Kij3M8XMwM","https://pbs.twimg.com/media/Ey9r8WqWQAUjv8q.jpg",,0
"Prince Andrew says he has 'no intention to distract' from Prince Philip's funeral amid ex-officer's fury  https://t.co/pQsQx1aCeS","",,0
"Meghan under fire after claim she ‘didn't want to be centre of attention at funeral' What makes this narcissist think for one moment she would be centre of attention at Prince Philip’s funeral? She really needs to give her head a wobble! UK HATES TRAITORS!  https://t.co/vgPvzyi4dl","",,0
"@KensingtonRoyal @RoyalFamily A great man who will be missed rip Prince Philip","",,0
"The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral - BBC News  https://t.co/jQSVGUVNQ5","",,0
"As the founder of the #DukeOfEdinburghAward - commonly known as @DofE - #PrincePhilip transformed how millions of young people, including myself, saw themselves and the world around them. Since its creation some 65 years ago, #DofE has reached...  https://t.co/MoNQhdRLs0","https://pbs.twimg.com/media/Ey9swdBWQAEu_2l.jpg",,0
"""Elle n’a jamais regardé quelqu’un d’autre"" : Elizabeth II, follement amoureuse du prince Philip  https://t.co/qzygE4rHPU","",,0
"Un streamer de Twitch bat un record en restant connecté... 31 jours d’affilée !  «Depuis que j’ai commencé à diffuser, le Prince Philip est mort, le Canal de Suez a été bloqué puis débloqué...» ➡️  https://t.co/z4B7BWwi6g  https://t.co/NfjpvzUOLM","https://pbs.twimg.com/media/Ey9tFwOWgAUwyHz.jpg",,0
"We have food banks family’s struggle to feed there children, and there selfs people living on the streets. People loose jobs. And we have 190million to spend on a boat ‘I’m sure there other ways to remember’ So no there shouldn’t be a boat to remember Prince Philip..","",,0
"We should honour Prince Philip by fighting the warped cult of woke  https://t.co/LnZs3onEA2","",,0
"@piersmorgan @RoyalFamily So beautiful 7 Great-grandchildren with Our Queen and Prince Philip 💞💞💞💞💞💞💞💞💞","",,0
"Royal Family Shares Never-Before-Seen Photos of Prince Philip With His Great-Grandchildren - E! News  https://t.co/CBStSLDD2Z","",,0
"Prince Philip: Royal Family releases Kate's photo of Queen and duke with seven great-grandchildren  https://t.co/hqMicEk5EE  https://t.co/tRKa26oora","https://pbs.twimg.com/media/Ey9tqZvWEAElvbk.jpg",,0
"My great-grandparents dancing next to Queen Elizabeth and Prince Philip 🥰  https://t.co/AA1h1IeEf8","https://pbs.twimg.com/media/Ey9tvPcW8AAniFh.jpg",,0
"My great-grandparents dancing next to Queen Elizabeth and Prince Philip 🥰  https://t.co/AA1h1IeEf8","https://pbs.twimg.com/media/Ey9tvPaWgAIMDyA.jpg",,1
"Prince Philip: BBC 'receives record 100,000 complaints' over Duke of Edinburgh coverage  https://t.co/0qAXz7uqq0","",,0
"@Murky__Meg ITV sure have it in for the Royal family. First thay air that lieathon on OW. Now thay chose a reporter who prince William will no longer associate with to cover prince Philip's funeral.","",,0
"Queen carries out second public engagement in two days after Prince Philip's death  https://t.co/x4OwmVBk9N  https://t.co/2zxsSd6gSq","https://pbs.twimg.com/media/Ey9udmPXAAQSbvK.jpg",,0
"Prince Philip and me: how we (politely) shirt-fronted a prince at the Chelsea flower show  https://t.co/Yl5TzM2MDQ","",,0
"That lovely picture of the Queen and Prince Philip with their great-grandchildren makes the front page of tomorrow’s #DailyMail - with some cracking #royal exclusives inside.","",,0
"@JmilnerPharm Very odd and inappropriate, no doubt in my mind Prince Philip would agree @keithridge1?","",,0
"Good on HM Queen for vetoing the wearing of any uniforms by the family at Prince Philip’s funeral.","",,0
"Prince Philip: Royal Family releases Kate's photo of Queen and duke with seven great-grandchildren  https://t.co/4pvIZeFYfk lucky Andrew wasn’t there  https://t.co/H1i6MyNf98","https://pbs.twimg.com/media/Ey9vYeWXIAI9hM_.jpg",,0
"Prince Philip dressed as Royal Guard and Queen Elisabeth that bursts out laughing seeing him!!!👑🤣💝  https://t.co/fgXDFOMUqv","https://pbs.twimg.com/media/Ey9vgwOWYAEL9z3.jpg",,0
"Re-reading Young Prince Philip by Philip Eade.  Prince Philip’s mother was born at Windsor castle in 1885, but I’d forgotten that his grandmother Princess Victoria, was born at the castle in 1863.  More royal than we think.","",,0
"As a mark of respect Boris Johnson and Tory MPs are refraining from corruption and sleaze until after the funeral of Prince Philip.  Are they fvck.... business as usual.  #TorySleaze","",,0
"Flowers at the castle as Windsor prepares for the funeral of Prince Philip on Saturday.  https://t.co/Tpu4YK2BJS","https://pbs.twimg.com/media/Ey9wG0HXAAAOzSS.jpg",,0
"The Queen appoints new Lord Chamberlain ahead of Prince Philip's funeral  https://t.co/egXrBeGzPb","",,0
"Le saviez-vous ? Comme Harry, le prince Philip a failli épouser une actrice américaine  https://t.co/EZ7Mypas6V","",,0
"@hardmanr has the scoop on how some of Prince Philip’s own family will be present on Saturday among the royal party  https://t.co/KULBeGGkmP","",,0
"As a mark of respect to prince Philip, the Scottish referees/masonic association has decided that for next season they will give Sevco a penalty for every year of his life (99)!  Sevco declined the offer though stating that they won't cut their allocation in half for anyone 😬","",,0
"@piersmorgan @DailyMail And you criticised Harry when Prince Philip was in hospital? Isn’t this just as bad when the Queen has enough on her plate 🧐","",,0
"@ARD_BaB Prince Philip hat momentan mehr Leben in den Augen als Alice Weidel","",,0
"De touchantes photos du prince Philip avec ses arrière-petits-enfants révélées  https://t.co/9BaMQDAsAK  https://t.co/fpjH7HNy9x","https://pbs.twimg.com/media/Ey9wrgGW8AE2FFh.jpg",,0
"I like the fact England has a promising you lad ... But the coverage of Bellingham tonight was like watching the prince Philip coverage last week ... Over and over again omg give it a rest will you !!!","",,0
"Prince Philip: Royal Family releases Kate's photo of Queen and duke with seven great-grandchildren  https://t.co/n7akoHB234","",,0
"Obsèques du prince Philip : Harry bénéficie-t-il d'un passe-droit ?  https://t.co/zSo6JryQyY","",,0
